smiles	Hansch pi	Hammett sigma p
[R]C1(C(O)=O)CC1	0.647	0.037
[R]NC(=O)c1ccc(C#N)cn1	0.125	-0.207
[R]c2nccc(c1cccnc1)n2	0.991	0.242
[R]CC(=O)Nc1cc(C)ccc1C	1.922	-0.076
[R]Sc1ccc(Br)cc1	2.804	-0.008
[R]C(O)Cc1ccccc1	1.857	0.01
[R]NC(=O)Nc1ccc(F)cc1F	1.025	-0.235
[R]Nc1ccon1	0.23	-0.296
[R]CCC1CCCN1C	1.224	-0.164
[R]OC(=O)NCc1ccccc1	1.491	-0.133
[R]Oc1c(Cl)cc(C)cc1Cl	3.172	-0.163
[R]Cc1ccn(C)n1	0.418	-0.152
[R]CCOCc1ccccc1	2.064	-0.05
[R]c1ccnc(NC)n1	0.498	0.216
[R]OCCCF	0.199	-0.202
[R]C(C)CC=CC	2.416	-0.122
[R]NS(=O)(=O)c1ccccc1Cl	1.539	-0.16
[R]c1ncoc1c2cccc(C)c2	2.176	0.075
[R]Nc1cc(C(F)(F)F)ccc1Cl	2.892	-0.213
[R]CN=N#N	1.234	0.095
[R]C1=NNC(=O)CC1C	0.852	0.31
[R]c1ncnc2sccc12	1.36	0.339
[R]c2ccc1NC(=O)Cc1c2	0.625	0.007
[R]C(=O)CCCCCCCCC	3.941	0.458
[R]c1c(N)n(C)c(=O)n(C)c1=O	-1.178	-0.077
[R]N1C(=O)COc2ccccc12	0.474	0.026
[R]c1cc(C)ccc1C(C)C	3.639	-0.052
[R]c2ccc1nccn1c2	0.572	0.113
[R]C(=O)CCCCCC	2.752	0.458
[R]C1CCN(CCC)CC1	1.484	-0.131
[R]c2ccc1OC(F)(F)Oc1c2	3.018	0.133
[R]C(=O)N(CC)Cc1ccccc1	1.739	0.353
[R]NCc1ccccc1C(F)(F)F	2.33	-0.606
[R]CNC1CCCC1	1.007	-0.096
[R]CN1CCC(O)CC1	-0.266	-0.058
[R]C=CC1CC(O)CC(=O)O1	0.06	0.095
[R]c1c(C)nc2ccccn12	0.971	0.056
[R]NCCCN1CCCCC1	0.423	-0.631
[R]C(=O)c2oc1ccccc1c2C	1.696	0.42
[R]SCCc1ccccc1	2.359	-0.033
[R]c2ccc1sc(C)nc1c2	2.354	0.024
[R]S(=O)(=O)c1ccc(Br)cc1	1.858	0.635
[R]NC(=O)c1cnc(OC)cn1	-0.777	-0.254
[R]C(C)c1ccc(Br)cc1	3.496	-0.046
[R]NC(C)Cc1ccccc1	2.112	-0.664
[R]N2CCN(C1CCC1)CC2	0.626	-0.675
[R]c1ccc(SC(F)(F)F)cc1	3.813	0.081
[R]N2C(c1ccccc1)COC2=O	1.63	-0.213
[R]Cc1ccc(C(=O)OC)o1	0.353	0.051
[R]c1ccc(C(C)(C)O)nc1	1.021	0.089
[R]SCCC(O)=O	0.053	0.015
[R]NS(=O)(=O)c1ccccc1F	1.16	-0.147
[R]Cc1ccc(N(CC)CC)cc1	3.323	-0.182
[R]Oc1ccccc1N(=O)=O	1.622	0.152
[R]CC(P(O)(O)=O)P(O)(O)=O	0.06	0.383
[R]C(=O)c1cnc(OC)cn1	-0.264	0.42
[R]C(=O)CC(O)=O	0.398	0.545
[R]C=c1[nH]c(=S)[nH]c1=O	-0.407	0.497
[R]c2ccc1[nH]cc(CCN)c1c2	0.655	-0.137
[R]c1cc(OC)ccc1C	2.192	0.007
[R]c1cc(OC)ccc1O	1.44	0.003
[R]C2(CF)N=C(N)OC1CC12	-0.038	-0.079
[R]OCCCCCCCCCC	3.572	-0.273
[R]NC(=O)OC1CCCC1	0.903	-0.25
[R]c1ccc(O)nc1	1.08	0.089
[R]C(=O)C=Cc1ccccc1Cl	2.565	0.388
[R]Oc1ccnc(C(=O)NC)c1	-0.164	0.06
[R]N1CCC(C(F)(F)F)CC1	1.423	-0.568
[R]c2ccc1occc1c2	1.463	-0.033
[R]C(=O)NC(C(C)O)C(O)=O	-0.92	0.478
[R]C2CCN(C1CCC1)CC2	1.465	-0.131
[R]C(=O)CCN1CCCCC1	1.308	0.467
[R]C1=CCOCC1	0.236	-0.035
[R]NNC(=O)c1ccccc1	1.095	-0.446
[R]C(C)(C)c1cc(F)ccc1OC	3.024	-0.175
[R]c1c(OC)ccc2ccccc12	2.727	-0.09
[R]C(=O)CCN1CCOCC1	0.244	0.491
[R]c1ccc(=O)n(C)c1	0.254	-0.017
[R]CNCc1ccc(C)cc1C	2.53	-0.085
[R]C(N)Cc1ccc(Cl)cc1	2.027	-0.016
[R]C(C(=O)OC)c1ccccc1	1.735	-0.028
[R]C(=O)COc1ccccc1Cl	2.56	0.587
[R]C=Cc1ccc(N(=O)=O)cc1	2.463	0.466
[R]C(=O)C(C)NC(C)=O	0	0.551
[R]C(O)C(C)(C)C	1.548	-0.035
[R]N(C)S(=O)(=O)c1ccc(Cl)cc1	1.9	-0.194
[R]NC(C)(C)CC	0.973	-0.666
[R]NCCc1c[nH]cn1	-0.98	-0.694
[R]C(=O)NCc1ccc(Cl)c(Cl)c1	2.186	0.412
[R]N(C)C1CCCC1	1.221	-0.68
[R]NC(=O)c1ccno1	-0.729	-0.161
[R]N(C(=O)CC)c1ccccc1	1.645	0.197
[R]c1ccccc1N2CCCCC2	2.964	-0.152
[R]Cc2nc1ccccc1n2C	1.539	0.037
[R]CCC=C(C)CCC=C(C)C	3.717	-0.125
[R]c1ccc(C(O)=O)nc1	0.763	0.214
[R]NC(=O)C1CCC(CN)CC1	-0.128	-0.311
[R]NC(=O)Nc1ccccc1F	0.885	-0.267
[R]Cc1ccc(OC)nc1	1.508	-0.072
[R]CC(=O)NCCC1=CCCCC1	1.091	-0.131
[R]Nc1cc(C(F)(F)F)ccc1F	2.514	-0.218
[R]NC(=O)CCCCC	0.906	-0.299
[R]CC(=O)N(CCC)CCC	1.174	-0.144
[R]Nc2nc(c1ccncc1)cs2	1.194	-0.128
[R]C(O)C(C)CC=CC	1.971	-0.022
[R]Oc1ccnc2[nH]ccc12	0.423	-0.046
[R]c1nc(C)cc(C)c1C#N	1.738	0.252
[R]Sc1ccccc1Cl	2.53	0.081
[R]NCc1cnc(C)cn1	-0.856	-0.577
[R]Nc1ccc(Cl)cc1F	2.149	-0.251
[R]NCCS(C)(=O)=O	-0.998	-0.549
[R]OCC23CC1CC(CC(C1)C2)C3	2.375	-0.281
[R]C1CC1(C)C	1.747	-0.125
[R]c2ccc1nsnc1c2	1.947	0.068
[R]OCC(C)(C)O	0.035	-0.243
[R]C(=O)N1C(C)CCCC1C	1.168	0.174
[R]Nc1ccc(F)cn1	1.018	-0.224
[R]CCOC(C)=O	0.139	0.002
[R]NCCc1ccc(Cl)cc1Cl	2.735	-0.604
[R]OC1OC(C)C(O)C(O)C1O	-0.722	-0.201
[R]Nc1cc[nH]n1	0.052	-0.408
[R]C(N)Cc1ccccc1F	1.649	-0.046
[R]c1cccc(CN(C)C)c1	1.864	-0.05
[R]CC(=O)N(C)c1ccccc1	1.234	-0.107
[R]c2ccc(n1cnnn1)nc2	0.612	0.228
[R]C1CC2CCC1(C)C2(C)C	3.13	-0.147
[R]CNC(=O)c1ccc(Cl)cc1Cl	2.186	0.136
[R]NC(=O)c1ccccc1O	0.717	-0.307
[R]C(CC(O)=O)C(N)=O	-1.215	-0.014
[R]CCCCNC(C)=O	0.281	-0.082
[R]c1cccc(C(F)F)c1	2.142	0.041
[R]C(=O)CBr	1.193	0.584
[R]Oc1cc(Cl)ccc1Cl	2.705	0.03
[R]Cc2nc(c1ccccc1)no2	2.175	0.108
[R]c1cccc(C(F)(F)F)c1C	3.327	0.072
[R]CC(O)CN1CCCCC1	0.781	-0.137
[R]C(CC(C)C)C=O	1.198	0.054
[R]NC(=O)c1ccccc1N(=O)=O	0.955	-0.258
[R]c2cc1ccccc1cc2O	2.695	-0.03
[R]NCCN1CCN(C)CC1	-0.549	-0.626
[R]COc1ccc(F)cn1	1.343	0.043
[R]c2ccc(c1cn[nH]c1)cc2	1.524	-0.044
[R]NC(CC(O)=O)C(N)=O	-1.735	-0.636
[R]C=c1sc(O)nc1=O	1.192	0.532
[R]NC(=O)c1ccccc1OCC	1.091	-0.36
[R]Oc1cccc(C)c1C	2.603	-0.114
[R]C(=O)C(C)(C)O	0.723	0.461
[R]C(=O)Nc1cnccn1	-0.87	0.478
[R]Cc1ccc(Cl)nc1	1.951	-0.011
[R]C(N)CCSC	-0.189	-0.038
[R]c1cc(=O)n(C)c(=O)n1C	-0.573	0.48
[R]c1c[nH]c2ccc(Br)cc12	2.078	-0.155
[R]C(CO)NC(C)=O	-1.136	0.019
[R]C(C)=NNC(N)=S	0.792	0.391
[R]OP(O)(=O)OCC(N)C(O)=O	-0.656	0.092
[R]C(=O)N1CCCCC1C	0.755	0.345
[R]c1cccc(Cl)n1	1.953	0.244
[R]C(=S)NC(=O)c1cccs1	1.243	0.671
[R]NC(CC(C)C)C=O	0.533	-0.604
[R]OCc1ccc(Cl)cc1Cl	2.8	-0.179
[R]C=Cc1ccncc1	1.198	0.083
[R]C(CC(C)C)C(=O)NCC#N	0.87	-0.044
[R]C=Cc1ccc(C(F)(F)F)cc1	3.393	0.103
[R]c1ccc(F)c(Br)c1	2.909	0.097
[R]CCCP(O)(O)=O	0.584	-0.107
[R]C1CC(C)(O)C1	0.4	-0.107
[R]NN=Cc1ccc(OC)cc1	1.717	-0.5
[R]c1cc(C(F)(F)F)ccc1OC	2.608	0.003
[R]OCCCCc1ccccc1	2.808	-0.266
[R]c1ccc(Cl)c(S(N)(=O)=O)c1	1.348	0.132
[R]C(=O)Cc1ccccc1OC	2.131	0.412
[R]C(=S)NC1CCCCC1	1.692	0.632
[R]c2ccc(c1ccon1)cc2	2.101	0.034
[R]C(=O)NC(CC(C)C)C=O	0.236	0.364
[R]c2cccc(c1nnn[nH]1)c2	1.608	0.1
[R]CN1CCCCCC1	1.298	-0.08
[R]C(=O)NCCc1ccc(F)cc1	1.541	0.39
[R]C1=NCCCCC1	1.892	0.166
[R]NCC(C)NC(=O)OC	-0.255	-0.552
[R]CNCCc1ccccc1	1.847	-0.084
[R]OC(=O)N1CCOCC1	-0.382	-0.109
[R]C=Cc1ccccn1	1.597	0.046
[R]OC(=O)C(C)C	0.929	-0.088
[R]OS(=O)(=O)C(F)(F)F	1.401	0.461
[R]NC(CC(N)=O)C(N)=O	-2.599	-0.696
[R]n2c(=S)[nH]c1ccccc1c2=O	0.861	0.128
[R]C1CCCN(S(C)(=O)=O)C1	0.414	-0.003
[R]NC(=O)c1cccc(C#N)c1	1.037	-0.224
[R]CC(=O)N1CCCCCC1	0.67	-0.141
[R]OCC(C)(C)C	1.706	-0.28
[R]C(CC(N)=O)C(N)=O	-2.08	-0.066
[R]C(=O)N(C)CCCC	0.827	0.355
[R]NS(=O)(=O)c1cccnc1	-0.291	-0.098
[R]c2nc(c1sc(C)nc1C)cs2	1.833	0.22
[R]CC(CC)c1ccccc1	3.497	-0.104
[R]c1onc(C)c1Cl	0.935	0.312
[R]Cn1nc(C)cc1C	0.35	0.079
[R]COCC(F)(F)F	1.011	0.048
[R]Cc2cc1ccccc1o2	1.625	0.005
[R]C(N)CS	-0.376	0.026
[R]Nc2nc1CCCCc1s2	1.516	-0.397
[R]C(=O)NC(CC(N)=O)C(N)=O	-2.897	0.288
[R]C(C)Oc1ccccc1	2.23	0.037
[R]c1c(C)cccc1F	2.584	0.054
[R]Nc2ccc1nc(C)sc1c2	1.868	-0.308
[R]CN1CCN(S(C)(=O)=O)CC1	-0.35	-0.016
[R]NCCCn1cncc1C	-0.921	-0.535
[R]C(C)(C)S	0.836	0.018
[R]Nc1ncnc(N)c1C#N	0.185	-0.229
[R]c1ncc(C#N)[nH]1	-0.005	0.371
[R]N(CC)CCO	-0.069	-0.669
[R]c2cc(c1ccccc1)[nH]n2	2.153	0.065
[R]c1n[nH]c2cccnc12	0.558	0.113
[R]C(=S)NCCc1ccccc1	2.136	0.63
[R]c1ccc(O)cc1C	2.16	-0.017
[R]c2cn1cccnc1n2	0.224	0.141
[R]C(=O)OCc1ccc(OC)cc1	1.547	0.491
[R]N(Cc1ccccc1)C(C)C	2.564	-0.686
[R]C12CCN(CC1)CC2	0.621	-0.107
[R]C(=O)C1CCNCC1	0.554	0.459
[R]N1CC2CC1C2	0.345	-0.655
[R]CC(C)(C)CO	1.314	-0.12
[R]c1cccc2[nH]nc(N)c12	0.987	0.089
[R]NS(=O)(=O)c1cc(Cl)c(Cl)s1	2.198	-0.074
[R]C(=O)NCCOc1ccccc1	0.989	0.369
[R]C=Cc1cccc(OC)c1	2.257	-0.009
[R]OC(=O)c1ccc(OC)cc1	1.399	-0.101
[R]C(NC(C)=O)C(C)C	0.521	0.065
[R]C(O)CCC	1.036	-0.019
[R]n1nc(C)c(N(=O)=O)c1C	0.155	0.355
[R]OCCCN(CC)CC	0.703	-0.261
[R]Nc1cc(Cl)c(OC)cc1OC	1.504	-0.411
[R]C1(C)CC(C(F)(F)F)OC(N)=N1	1.102	-0.036
[R]C(=O)OC1CN2CCC1CC2	0.316	0.515
[R]c2ncc1ccccc1c2C	2.534	0.105
[R]C2(c1ccccc1)CCCC2	3.426	-0.093
[R]SCC(=O)NCc1ccccc1	1.03	-0.016
[R]c1ccc(SC(F)F)cc1	2.922	0.024
[R]SCc1ccccc1C	2.574	-0.039
[R]CC#Cc1ccccc1	2.676	-0.041
[R]C1CCCN(C(N)=N)C1	-0.051	-0.025
[R]c2ccc(C1CCNC1)cc2	1.672	-0.035
[R]Cc1nccn1C	-0.091	-0.014
[R]C(=O)CN1CCCC1	0.731	0.483
[R]Cc1ccc(Br)cc1F	3.305	-0.052
[R]C(C)=CC	1.446	-0.098
[R]OCC1CCNCC1	0.025	-0.273
[R]SCC(N)C(O)=O	-0.723	-0.012
[R]C(O)(CC)CC	1.186	-0.047
[R]C1OC(C(=O)NC)C(O)C1O	-1.698	0.176
[R]OC(=O)C=Cc1ccccc1	2.184	-0.103
[R]C(C)C1CNC(=O)C1	-0.05	-0.009
[R]NS(=O)(=O)c1ccc(Cl)cc1Cl	2.057	-0.12
[R]c2ccc1CCNCCc1c2	1.736	-0.031
[R]c1ccccc1N2CCCC2	2.567	-0.115
[R]CCNC(=O)OC(C)(C)C	0.948	0.005
[R]C(=O)NCCCCCCCC	2.166	0.36
[R]NCCCCO	-0.269	-0.625
[R]C(=O)C(CCC)CCC	3.314	0.445
[R]C1=NC(=O)CS1	0.246	0.771
[R]C(=O)N1CCC(C(N)=O)CC1	-1.193	0.383
[R]C(=O)c2ccc1[nH]cnc1c2	0.386	0.445
[R]C(N)C(=O)N1CCCC1	-0.899	0.062
[R]C2CCN(C1CCOCC1)CC2	0.505	-0.117
[R]NC(=O)CCCCC1CCSS1	1.039	-0.277
[R]C(=O)C(CO)NC(C)=O	-0.786	0.529
[R]NCc1ccccc1O	1.163	-0.622
[R]NCCCCCC(=O)NO	0.059	-0.62
[R]CCOc1ccc(OC)cc1	1.816	0.005
[R]c2nc(c1cccc(C)c1)no2	2.71	0.412
[R]C1CN(C)C1	-0.003	-0.044
[R]c1nsnc1C2=CCCN(C)C2	1.032	0.154
[R]c1cc(Br)cs1	2.24	0.098
[R]C(CO)c1cccc(Cl)c1	2.147	0.032
[R]n2cnc1C(O)CN=CNc12	-0.627	0.162
[R]c2nc1ccccc1n2CC	1.949	0.276
[R]C(=O)c1ncc(C#N)[nH]1	-0.468	0.549
[R]S(=O)(=O)N1CCCC1COC	-0.068	0.504
[R]NC(=O)C(C)c1ccccc1	1.496	-0.297
[R]C(=O)NCc1cccc(F)c1	1.289	0.391
[R]c1cnc(OC)c(F)c1	1.251	0.083
[R]CNC(=O)c1cccc(Cl)c1Cl	2.186	0.136
[R]C(=O)N1CCC(C(O)=O)CC1	-0.329	0.401
[R]C(CC1CCCC1)CN(O)C=O	2.033	-0.046
[R]CC(O)CNC(C)(C)C	0.532	-0.131
[R]Cn1nc(C(O)=O)cc1C	0.277	0.209
[R]Cn1c(C)nc2ccccc12	1.47	0.102
[R]NN=Cc1c[nH]c2ccccc12	1.278	-0.549
[R]c1nc(C)c(C)s1	0.944	0.225
[R]n1nc(C(O)=O)cc1C	0.129	0.328
[R]Cc2cc1OCOc1cc2Cl	2.576	-0.057
[R]C1(C(O)=O)CCCC1	1.44	0.027
[R]CNC(=O)CN	-1.666	0.109
[R]C(=O)Nc1c(Cl)cncc1Cl	0.779	0.478
[R]C(C)CCC(O)=O	1.047	-0.077
[R]OCc1ccccc1C	2.231	-0.234
[R]C(=S)NC(=O)c1ccco1	0.255	0.679
[R]Nc1c(CC)cccc1CC	3.218	-0.584
[R]Nc1ncccc1C	1.345	-0.465
[R]c1cc(C(O)=O)cc(C(O)=O)c1	1.374	0.165
[R]Nc2ccc1ncsc1c2	1.72	-0.289
[R]N(C)C1CCS(=O)(=O)C1	-0.691	-0.485
[R]OCCCCO	0.047	-0.256
[R]C(=O)C1CCC(C(O)=O)CC1	1.744	0.513
[R]SCCCCCC	2.33	-0.046
[R]OC(C)C1CNC(=O)C1	-0.678	-0.161
[R]C#Cc1cccnc1	0.968	0.152
[R]c2sc1CCCCc1c2C(N)=O	1.441	0.073
[R]CCn1c(C)cc2ccccc12	1.877	0.019
[R]Nc1ccc(OC(C)C)cc1	1.994	-0.424
[R]c1[nH]cnc2ncnc12	-0.242	0.404
[R]Cc2nnc(c1ccccc1)o2	2.06	0.068
[R]C(=O)NCC(C)c1ccccc1	1.804	0.367
[R]NC(C)c1cccc(OC)c1	1.607	-0.629
[R]N1C(=O)NC(C)(C)C1=O	-0.488	0.038
[R]Nc1ccccc1C(=O)OCC	1.564	-0.316
[R]c1ccc(NC)cc1	1.551	-0.179
[R]C1CCCN(C(N)=N)C1O	-0.256	-0.141
[R]Nc1cccc2ncccc12	1.581	-0.304
[R]NC1CCCN(C(N)=N)C1O	-0.856	-0.633
[R]c1ccccc1CO	1.442	0.003
[R]CNC(=O)C(C)N	-1.129	0.114
[R]C(=O)C(NC(C)=O)C(C)C	0.871	0.543
[R]Cc2csc(c1ccccc1)n2	2.619	-0.129
[R]c1sc(N)nc1C	0.695	-0.107
[R]n2nnc(c1ccccn1)n2	1.001	0.47
[R]c1c(C)nc(N)nc1N	-0.173	-0.126
[R]C(C(C)C)C(=O)NCC(N)=O	-0.728	-0.117
[R]c1cccc2CN(C)C(=O)c12	1.034	-0.06
[R]c1sccc1C(N)=O	0.282	0.016
[R]c1c(C)cccc1CC	3.308	-0.044
[R]c1ccc(F)c(O)c1	1.833	0.065
[R]CCCCCO	1.198	-0.114
[R]c2ccc(N1CCOCC1)nn2	1.233	0.23
[R]OC(C)c1c(Cl)ccc(F)c1Cl	3.352	-0.232
[R]CCc2ccc1ccccc1n2	2.795	-0.122
[R]C(=O)c1cncs1	0.342	0.478
[R]Nn1cnnc1	-0.473	-0.152
[R]SCC(=O)Nc1nnc(CC)s1	0.8	0.051
[R]c1csc(C)c1	1.22	-0.052
[R]CCC23CC1CC(CC(C1)C2)C3	3.381	-0.139
[R]N(C)Cc1ccc(F)cc1	1.948	-0.596
[R]Nc1ccsc1C(=O)OC	0.693	-0.261
[R]Oc1cc(C)ccc1C	2.603	-0.112
[R]Sc1ccccc1N	1.229	0
[R]S(=O)(=O)Nc1cc(C)on1	-0.097	0.553
[R]CC(=O)Nc1cc(C)cc(C)c1	1.922	-0.077
[R]COCCO	-0.407	-0.09
[R]c1ccc(C#N)c(F)c1	2.153	0.217
[R]C(S)=NC	0.65	0.222
[R]CCN(CC(O)=O)CC(O)=O	-0.485	-0.063
[R]C(=O)C(CS)Cc1ccccc1	2.927	0.499
[R]C2CCC(N1CCOCC1)CC2	1.194	-0.095
[R]NS(=O)(=O)N1CCC1	-0.471	-0.183
[R]Nc1cc(F)ccc1F	1.77	-0.248
[R]NN=Cc1ccc(O)c(OC)c1	1.432	-0.454
[R]CNC(=O)Cc1ccccc1	1.082	0.1
[R]CC1(C)COC1	0.855	-0.072
[R]C(O)c1ccc(F)cc1	1.744	0.037
[R]NC(=O)Nc1ccncc1	-0.566	-0.242
[R]NC(=O)c1ccc(F)c(F)c1	1.281	-0.213
[R]OCCCCCCC	2.383	-0.273
[R]Nc1ccnc2ccccc12	1.581	-0.239
[R]Nc2ccc(C1CCNC1)cc2	1.186	-0.384
[R]NC(C(C)C)C(=O)NCC(N)=O	-1.32	-0.584
[R]N(C)Cc1ccco1	0.043	-0.609
[R]NS(=O)(=O)c1cccc(F)c1	1.16	-0.109
[R]c2ccc1N(C(C)=O)CCc1c2	1.055	-0.057
[R]N=CN(C)C	-0.003	-0.285
[R]S(=O)(=O)Nc1nncs1	0.311	0.597
[R]NC(P(O)(O)=O)P(O)(O)=O	-0.049	-0.142
[R]C(=O)C1CC1(C)C	1.989	0.437
[R]C(=O)Nc1ccsc1C(=O)OC	0.256	0.466
[R]C2CNC(C(=O)N1CCSC1)C2	-0.18	-0.027
[R]Oc1ccc(F)cc1Cl	2.326	0.029
[R]C(=O)Nc1ccon1	-0.207	0.519
[R]Oc1ccncc1	0.357	0.01
[R]NCC(C)CC	1.281	-0.648
[R]c1ccc(OC)c2ccccc12	2.727	-0.09
[R]CC(=O)c1cccs1	0.918	-0.106
[R]C=c1c(=O)[nH]c(=O)[nH]c1=O	-1.417	0.635
[R]C(=O)c1c(N)nn2cccnc12	-0.19	0.296
[R]C(=O)Nc1sccc1C(N)=O	-0.341	0.483
[R]NCc1ccc(N(C)C)cc1	1.711	-0.685
[R]CCc2nc1ccccc1[nH]2	1.689	-0.058
[R]OCC(=O)NCc1ccco1	-1.078	-0.163
[R]c1ncc(F)s1	1.2	0.337
[R]c1cccc(S(=O)(=O)NC)c1	1.077	0.064
[R]SCCN	-0.46	-0.023
[R]C(=O)N1CC(C)CC(C)C1	1.147	0.35
[R]Nc1sccc1C(N)=O	0.096	-0.194
[R]C(=O)C=Cc1ccc(C)cc1	2.514	0.363
[R]C2COc1ncccc1O2	0.844	0.197
[R]CN1CCN(C(C)=O)CC1	-0.715	-0.044
[R]Cc2ccc(n1cccn1)cc2	1.99	-0.066
[R]OCc1cccc(OC)c1	1.511	-0.251
[R]CC(=O)Nc1ccccc1CC	1.851	-0.072
[R]OCC2COc1ncccc1O2	0.63	-0.16
[R]C(=O)CC(F)(F)F	1.582	0.635
[R]c2cn(Cc1ccccc1)nn2	1.81	0.07
[R]NN=Cc2ccc1OCOc1c2	1.654	-0.449
[R]C1(C)CCCCC1	2.605	-0.152
[R]CC2COc1ncccc1O2	1.095	-0.016
[R]C(=O)Nc1nc(C)c(C(C)=O)s1	-0.136	0.549
[R]C(=O)c1ccc(NC(N)=N)cc1	0.264	0.334
[R]Oc1ncccn1	0.216	-0.085
[R]C(=O)C(N)CCSC	0.16	0.537
[R]N2C(=O)C1CC=CCC1C2=O	0.2	0.046
[R]c1cc(O)nc2ccccc12	2.481	0.198
[R]Oc2cccc1CN(C)C(=O)c12	0.725	-0.016
[R]Nc2sc1CCCCc1c2C#N	2.456	-0.142
[R]Cc1ccc(N)nc1C	1.148	-0.136
[R]Nc2ccc1c(N)nccc1c2	1.097	-0.318
[R]C=CN(C)C	0.564	-0.389
[R]c1ccc(Br)cc1Cl	3.287	0.103
[R]NCc1ccc(Br)cc1	2.239	-0.577
[R]C(=O)N(C)CCO	-0.823	0.333
[R]c2cccc(c1cncnc1)c2	1.706	0.06
[R]Cc2ccc(n1cnnn1)nc2	1.008	0.065
[R]NC(=O)C(C)NC(C)=O	-1.45	-0.212
[R]NCCSc1ccccc1	1.63	-0.568
[R]P(O)(=O)CCC(N)C(O)=O	-1.454	0.413
[R]C(=O)NC(CC(O)=O)C(N)=O	-2.032	0.328
[R]c1cccc(N(=O)=O)c1C	2.398	0.174
[R]c1ccc(C=O)cc1	1.653	0.098
[R]C(CC(O)=O)c1ccccc1Cl	2.386	0.035
[R]SCc1ccc(OC)cc1	1.854	-0.044
[R]C(C)(C)Oc1ccc(Cl)cc1	2.826	0.157
[R]NC1CCN(C(C)C)CC1	0.402	-0.641
[R]NC(=S)Nc1ccccc1	1.48	-0.152
[R]CCc1ccc(O)c(O)c1	2.201	-0.068
[R]C(O)c1ccc(O)cc1	1.321	0.015
[R]OP(O)(=O)OP(O)(O)=O	0.776	0.09
[R]c2ccc(c1noc(C)n1)cc2	2.014	0.041
[R]Nc1ccccc1C#N	1.527	-0.212
[R]C(=O)C(N)Cc1ccc(Cl)cc1	2.377	0.554
[R]C1CC(C)CCC1C(C)C	3.56	-0.137
[R]CCCCN(CC)CC	1.909	-0.125
[R]C(=O)NCC1CCOCC1	-0.371	0.38
[R]c1ccc(NC(=O)C=C)cc1	1.703	-0.05
[R]CCC(=O)N1CCOCC1	-0.394	-0.058
[R]C(=O)CC1CCCCC1	2.579	0.459
[R]c2ccc(C1CCCNC1)cc2	2.068	-0.028
[R]n2cnc(C1CC1)c2	0.266	0.124
[R]CCc1c[nH]c2ccc(Cl)cc12	2.596	-0.095
[R]C(C)=S	1.273	0.735
[R]c1ncc(Br)s1	1.792	0.356
[R]C(C)C(N)C(=O)N1CCC(F)C1	-0.465	-0.104
[R]NC(=O)c1ncc(C#N)[nH]1	-0.981	-0.137
[R]C(=O)CCN1CCCC1	0.912	0.473
[R]C(=O)NN=Cc1ccncc1	0.36	0.504
[R]CSc1nc[nH]n1	0.358	0.065
[R]OCc1cc(Cl)cc(Cl)c1	2.8	-0.175
[R]c1nnc(N)o1	0.058	0.312
[R]Nc1cccnc1Cl	1.068	-0.237
[R]C(=O)c1ccc(OC(C)C)cc1	2.017	0.432
[R]C1CCCC(N)C1	0.766	-0.104
[R]Cc1ccc(OC(C)C)cc1	2.877	-0.134
[R]Cn1ccnn1	-0.273	0.197
[R]C(=O)NS(=O)(=O)N1CCC1	-0.768	0.551
[R]CC(=O)N(CCCC)CCCC	1.967	-0.144
[R]C(=O)CCC1CCCC1	2.579	0.456
[R]CCS(=O)(=O)c1ccccc1	1.466	0.027
[R]OCCOc1ccccc1	1.603	-0.223
[R]C(C)(C)C(N)=O	0.287	-0.137
[R]NC(=O)c1cccnc1Cl	0.578	-0.248
[R]N(CC=C)CC=C	1.513	-0.636
[R]c1nccc2OCCc12	0.794	0.171
[R]c1cccc(C=CC(=O)NO)c1	1.829	0.038
[R]S(=O)(=O)c1ccccc1F	1.206	0.624
[R]N1CCCCc2ccccc12	2.512	-0.547
[R]c2ccc(c1nnn[nH]1)cc2	1.608	0.181
[R]N1CC2(C)CC1CC(C)(C)C2	2.407	-0.691
[R]c2ccc1oc(=O)ccc1c2	1.416	0.1
[R]C(C)c1cccc2ccccc12	3.706	-0.095
[R]c1cc(C(C)C)ccc1C	3.639	-0.052
[R]C(=O)c1ccc(O)c(Cl)c1	1.748	0.527
[R]C(=O)CCC1CCCCC1	2.975	0.454
[R]Nc1ccc(Br)c(C)c1	2.75	-0.313
[R]Nc1nc(CC(=O)OCC)cs1	0.827	-0.201
[R]C(=O)NC(CS)C(O)=O	-0.747	0.391
[R]Oc1ccc(C(C)C)cc1	2.863	-0.104
[R]Cc2cc1ccccc1s2	2.782	-0.049
[R]C(=O)c1cccc(N(C)C)c1	1.779	0.412
[R]NN=Cc1ccc(O)cc1	1.685	-0.463
[R]C#Cc1ccc(OCC)cc1	2.37	0.075
[R]CCN(C)Cc1ccccc1	2.208	-0.101
[R]CC(=O)NCc1ccccc1Cl	1.6	-0.125
[R]NN=Cc1ccccn1	1.057	-0.474
[R]Nc1ncnc2ccccc12	1.635	-0.288
[R]CNC(=O)c1ccc(OC)cc1	0.897	0.097
[R]CNC1CCCCC1	1.404	-0.098
[R]COc1cccc(F)c1	1.956	0.072
[R]c1cc(OCC)ccc1OCC	2.157	-0.109
[R]c2nnc(c1cccs1)o2	1.598	0.434
[R]Cc1ccccc1OC(F)(F)F	3.866	-0.107
