smiles	Hansch pi	Hammett sigma p
[R]CCC(C)C	2.28	-0.136
[R]c1cccc(Cl)c1Cl	3.013	0.079
[R]c1cc(F)cc(F)c1	2.256	0.168
[R]C(C)NC(C)=O	-0.35	0.081
[R]C(=O)Cc1ccccc1	2.384	0.475
[R]Nc1ccc(C)cc1	1.959	-0.4
[R]NC(=O)OC	-0.286	-0.234
[R]CCN1CCCC1	0.757	-0.087
[R]C(N)Cc1ccc(O)cc1	1.225	-0.046
[R]c1ccccc1C(O)=O	1.676	-0.066
[R]C(=O)C(N)Cc1ccc(O)cc1	1.574	0.504
[R]c1nn[nH]n1	0.039	0.272
[R]Cc1cccc(F)c1	2.513	-0.063
[R]c1ccc(N)cc1	1.194	-0.171
[R]c1ccc(C(C)C)cc1	3.171	-0.049
[R]Cc1cccc(Cl)c1	2.892	-0.066
[R]c1ccc(OC)cc1OC	1.472	-0.209
[R]c1cccc(C(O)=O)c1	1.676	0.041
[R]Cc1ccccc1OC	2.121	-0.191
[R]c1c(C)cccc1C	2.912	-0.049
[R]c1cnccn1	-0.247	0.241
[R]Cc1cccc(OC)c1	2.121	-0.114
[R]c1c(C)noc1C	0.189	0.037
[R]CCCN1CCOCC1	0.485	-0.095
[R]S(=O)(=O)N1CCOCC1	-0.642	0.576
[R]CC(=O)OCC	0.298	-0.038
[R]Cc1ccc(Cl)c(Cl)c1	3.41	-0.023
[R]OCCCC	1.194	-0.273
[R]c1cncnc1	0.021	0.147
[R]NC(=O)c1ccco1	-0.515	-0.247
[R]C(=O)N(CC)CC	0.305	0.347
[R]C=Cc1ccccc1	2.51	-0.019
[R]S(=O)(=O)c1ccccc1	1.066	0.587
[R]c1ccc(NC(C)=O)cc1	0.826	-0.044
[R]CCCO	0.406	-0.095
[R]NC(=O)C1CC1	-0.225	-0.294
[R]c1cc(Cl)cc(Cl)c1	3.013	0.143
[R]OCCOC	-0.178	-0.273
[R]Nc1cccc(C)c1	1.959	-0.4
[R]CCCN(C)C	0.828	-0.115
[R]C(=O)N1CCCCC1	0.342	0.353
[R]C(=O)NC1CC1	-0.231	0.391
[R]c1cn[nH]c1	-0.16	-0.145
[R]Oc1ccc(Cl)cc1	2.187	-0.022
[R]CC(=O)OC	-0.044	-0.031
[R]C(=O)c1ccc(C)cc1	1.982	0.445
[R]c1ccc(C)cc1C	2.912	-0.058
[R]N2CCc1ccccc1C2	1.79	-0.634
[R]c1ccccc1N(=O)=O	1.931	0.159
[R]C1OC(CO)C(O)C(O)C1O	-1.561	0.146
[R]CCN1CCCCC1	1.154	-0.11
[R]C(=O)C=C	1.416	0.38
[R]OP(O)(O)=O	0.366	0.057
[R]C(Cc1ccccc1)C(N)=O	1.235	-0.095
[R]CCCOC	0.684	-0.096
[R]CC#C	0.871	-0.054
[R]C(=O)C(C)C	1.729	0.451
[R]Sc1ccccc1	2.012	-0.069
[R]CS	0.344	0.038
[R]OCC1CC1	0.697	-0.261
[R]Nc1cccc(Cl)c1	2.009	-0.313
[R]c1ccccc1Br	2.769	0.029
[R]C(=O)Nc1ccc(Cl)cc1	1.573	0.491
[R]NCCCC	0.878	-0.642
[R]N1CCC(C)CC1	1.084	-0.68
[R]c1cc(C)on1	0.417	0.144
[R]c1cc(OC)ccc1OC	1.472	-0.095
[R]CN1CCCC1	0.506	-0.103
[R]C(=O)Nc1ccc(OC)cc1	0.802	0.435
[R]NC(Cc1ccccc1)C(N)=O	0.571	-0.639
[R]C(=O)NC(C)c1ccccc1	1.563	0.369
[R]c1cc(C)ccc1C	2.912	-0.049
[R]C1CCOC1	0.205	-0.027
[R]Oc1ccc(F)cc1	1.808	-0.031
[R]c1ccc(C)o1	0.462	0.072
[R]C(=O)NCc1ccco1	-0.616	0.391
[R]c1cccc(C)n1	1.235	0.128
[R]c1ccc(C(N)=N)cc1	0.983	0.045
[R]C(O)CO	-0.615	0.062
[R]Nc1cccc(OC)c1	1.239	-0.375
[R]c1ccc(Cl)cn1	1.583	0.228
[R]N1CCCCCC1	1.15	-0.674
[R]c1ccoc1	0.232	-0.093
[R]C(=O)NC(C)C	0.129	0.36
[R]c1ccc(O)c(O)c1	1.409	0.034
[R]Cc1cccc2ccccc12	3.376	-0.103
[R]NCC1CCCO1	-0.098	-0.658
[R]c1ccccc1N	1.194	-0.104
[R]CF	0.361	0.067
[R]n2c(=O)c1ccccc1c2=O	0.471	0.078
[R]N(CCC)CCC	1.654	-0.669
[R]CN1CCN(C)CC1	-0.019	-0.095
[R]Nc1cccc(C(F)(F)F)c1	2.374	-0.267
[R]CN1CCCCC1	0.902	-0.104
[R]NC(=O)Cc1ccccc1	0.934	-0.297
[R]C(=O)CCC	1.563	0.456
[R]N(C)Cc1ccccc1	1.808	-0.644
[R]c1ccccc1OCC	2.067	-0.155
[R]NCCO	-0.773	-0.65
[R]n1nccn1	-0.184	0.269
[R]NS(=O)(=O)c1ccccc1	1.021	-0.158
[R]C1OC(CO)C(O)C1O	-1.189	0.116
[R]c1c(C)cc(C)cc1C	3.379	-0.065
[R]C(=O)NCCc1ccccc1	1.401	0.369
[R]C(C)C(O)=O	0.486	-0.02
[R]c1ccc(C(=O)OC)cc1	1.708	0.114
[R]Nc1ccccn1	0.878	-0.291
[R]NCCOC	-0.494	-0.652
[R]C(=O)OC(C)C	0.779	0.489
[R]NCCC	0.481	-0.641
[R]C(N)C(O)=O	-0.853	0.119
[R]Nc1ccccc1OC	1.239	-0.435
[R]c1cccc(C(N)=N)c1	0.983	-0.027
[R]C(C)CO	0.412	-0.057
[R]c1ccc(N)nc1	0.581	-0.093
[R]c1nnn[nH]1	-0.076	0.553
[R]CCCN	0.058	-0.107
[R]C(=O)C(F)(F)F	1.65	0.752
[R]CC(=O)NO	-0.455	-0.06
[R]c1cc(F)ccc1F	2.256	0.108
[R]C1CCCNC1	0.384	-0.085
[R]NC(=O)C=C	-0.034	-0.3
[R]C(=O)N1CCN(C)CC1	-0.579	0.366
[R]CC1CCOCC1	0.925	-0.096
[R]c1cccc(C)c1C	2.912	-0.047
[R]CCc1ccc(OC)c(OC)c1	2.265	-0.103
[R]C(C)(C)C(O)=O	1.151	-0.05
[R]NCc1ccc(F)cc1	1.586	-0.587
[R]C(=O)Nc1ccc(F)cc1	1.194	0.485
[R]c2ccc(N1CCOCC1)cc2	1.899	-0.065
[R]NC(=O)c1cccs1	0.473	-0.275
[R]c1ccc(C(F)(F)F)cn1	1.947	0.322
[R]C(Cc1ccccc1)C(O)=O	2.1	0
[R]C(CC(C)C)C(N)=O	0.745	-0.112
[R]C(C)N	-0.177	-0.079
[R]NC(=O)CC	-0.283	-0.297
[R]C(=O)NC1CCCC1	0.562	0.36
[R]NC(CC(C)C)C(N)=O	0.08	-0.622
[R]C(=O)NC(CC(C)C)C(N)=O	-0.217	0.347
